Results Table
Analysis:
Skip lists are more efficiet and faster in terms of execution time as insertion/search is faster than what it would have been if the same list was a singly/doubly linked list. In this 2 level example, I've used 1/2 probability coefficient for element to be on higher level. Even though overall execution time per instruction is faster, it uses lot more memory and we cannot say the same positive comments for memory management.
n		n^3/2		Num of Moves
5585				3313  				0  				929   				0.166338
5648				19    				0  				11    				0.00194759
6871				5505  				0  				1923  				0.279872
6634				359   				0  				143   				0.0215556
9505				9800  				0  				4637  				0.487849
3595				472   				0  				93    				0.0258693
9497				4179  				0  				2000  				0.210593
6731				26    				0  				9     				0.0013371
5323				558   				0  				180   				0.0338155
4525				9982  				0  				2275  				0.502762
6085				629   				1  				224   				0.0368118
4053				7198  				0  				1483  				0.365902
4214				6182  				0  				1303  				0.309207
3160				829   				0  				132   				0.0417722
2038				4969  				0  				509   				0.249755
1017				8008  				0  				400   				0.393314
4999				9719  				1  				2447  				0.489498
7537				2008  				0  				802   				0.106408
4686				1470  				0  				346   				0.073837
6948				3096  				0  				1079  				0.155296
2339				7465  				0  				879   				0.375802
4202				944   				0  				195   				0.0464065
5637				5497  				0  				1563  				0.277275
7514				1696  				0  				682   				0.0907639
1068				7236  				0  				403   				0.377341
7286				6235  				1  				2205  				0.302635
3192				2769  				0  				459   				0.143797
2826				597   				0  				93    				0.0329087
242 				3644  				0  				40    				0.165289
291 				2410  				0  				53    				0.182131
3965				9272  				1  				1893  				0.477427
9635				451   				1  				207   				0.0214842
4395				2008  				0  				446   				0.101479
8066				8463  				1  				3415  				0.423382
2708				2675  				0  				369   				0.136263
6018				6234  				1  				1938  				0.322034
5808				4726  				0  				1368  				0.235537
8666				4240  				0  				1836  				0.211862
5521				5479  				1  				1550  				0.280746
1863				2433  				0  				233   				0.125067
3470				2227  				1  				402   				0.11585
7246				6287  				1  				2314  				0.319349
1203				5261  				0  				314   				0.261014
7742				2566  				1  				1084  				0.140015
8968				6640  				0  				2952  				0.32917
8674				2156  				0  				965   				0.111252
5348				7018  				0  				1861  				0.347981
7765				4320  				0  				1661  				0.213909
1401				6119  				0  				402   				0.286938
4538				6178  				0  				1440  				0.31732
4474				8592  				0  				1959  				0.437863
6958				5323  				1  				1890  				0.27163
4727				6144  				1  				1428  				0.302094
9893				3608  				0  				1784  				0.18033
175 				251   				0  				7     				0.04
2333				9754  				0  				1139  				0.488213
4467				848   				0  				185   				0.0414148
5564				4250  				0  				1184  				0.212797
9561				8747  				0  				4118  				0.430708
3486				971   				0  				189   				0.0542169
7979				8231  				0  				3351  				0.419977
1820				5107  				0  				437   				0.24011
8277				2537  				1  				1077  				0.13012
8275				5570  				0  				2388  				0.28858
7793				960   				0  				398   				0.0510715
4962				1297  				0  				304   				0.0612656
4962				5128  				0  				1304  				0.262797
2329				4998  				0  				578   				0.248175
894 				1631  				0  				83    				0.0928412
1645				4878  				0  				429   				0.26079
6247				2384  				0  				778   				0.12454
9943				4689  				1  				2335  				0.234839
5570				8811  				1  				2492  				0.447397
6371				4052  				0  				1261  				0.197928
1427				5462  				0  				394   				0.276104
