Results Table
Analysis:
Skip lists are more efficiet and faster in terms of execution time as insertion/search is faster than what it would have been if the same list was a singly/doubly linked list. In this 2 level example, I've used 1/2 probability coefficient for element to be on higher level. Even though overall execution time per instruction is faster, it uses lot more memory and we cannot say the same positive comments for memory management.
n		n^3/2		Num of Moves
6572				3365  				1  				1161  				0.176659
7276				4831  				0  				1732  				0.238043
7400				4655  				1  				1669  				0.225541
5928				8743  				0  				2600  				0.438596
9743				3619  				1  				1792  				0.183927
45  				9143  				1  				27    				0.6
814 				4782  				0  				198   				0.243243
1324				9809  				0  				674   				0.509063
2483				9368  				0  				1189  				0.478856
8723				9617  				1  				4234  				0.485383
8944				9963  				1  				4466  				0.499329
5660				4121  				1  				1149  				0.203004
5055				8088  				0  				2084  				0.412265
8028				1194  				1  				478   				0.0595416
5590				4645  				0  				1286  				0.230054
9933				1847  				0  				960   				0.0966475
4007				5025  				0  				1012  				0.252558
8567				2479  				0  				1073  				0.125248
1427				1443  				0  				104   				0.0728802
9287				7108  				0  				3339  				0.359535
6361				5480  				1  				1808  				0.284232
3498				7953  				1  				1362  				0.389365
6889				5036  				1  				1766  				0.256351
3211				6878  				0  				1126  				0.35067
1060				6064  				0  				323   				0.304717
3677				7429  				1  				1348  				0.366603
3826				8395  				0  				1634  				0.427078
8467				8299  				1  				3533  				0.417267
4654				8978  				0  				2062  				0.44306
5612				1833  				0  				512   				0.0912331
7878				9214  				0  				3582  				0.454684
133 				2466  				0  				23    				0.172932
8053				7661  				1  				3087  				0.383335
3569				3590  				0  				634   				0.177641
1602				1480  				0  				133   				0.0830212
5165				3376  				0  				842   				0.16302
9099				9225  				0  				4186  				0.460051
2143				8001  				1  				873   				0.407373
7702				125   				1  				49    				0.00636198
5836				6927  				1  				2049  				0.351097
9554				7459  				1  				3502  				0.366548
2137				5362  				0  				631   				0.295274
6983				5237  				1  				1873  				0.268223
2974				3442  				0  				546   				0.183591
7223				3648  				0  				1355  				0.187595
3816				8956  				0  				1733  				0.45414
2377				4881  				1  				616   				0.25915
556 				9726  				0  				266   				0.478417
2523				5740  				0  				723   				0.286564
3099				6092  				0  				931   				0.300419
8183				2971  				1  				1217  				0.148723
3202				3263  				0  				525   				0.16396
9544				574   				1  				254   				0.0266136
2900				3174  				0  				467   				0.161034
3544				7532  				0  				1350  				0.380926
2810				2526  				1  				384   				0.136655
3936				3605  				0  				725   				0.184197
3935				823   				0  				155   				0.0393901
5216				250   				0  				79    				0.0151457
2866				3065  				0  				453   				0.15806
3090				2062  				0  				322   				0.104207
4412				974   				0  				253   				0.0573436
5226				2649  				1  				750   				0.143513
5257				4426  				0  				1162  				0.221039
5877				2235  				0  				693   				0.117917
6024				7847  				0  				2371  				0.393592
9041				5463  				0  				2523  				0.279062
3048				5165  				0  				755   				0.247703
224 				6173  				0  				89    				0.397321
1752				4518  				0  				401   				0.228881
9216				9347  				0  				4275  				0.463867
9133				9278  				1  				4178  				0.457462
6079				173   				0  				64    				0.010528
1862				7546  				0  				725   				0.389366
3459				507   				0  				96    				0.0277537
7900				100   				1  				46    				0.00582278
6392				8600  				1  				2735  				0.427879
3821				5297  				0  				978   				0.255954
9149				6112  				0  				2799  				0.305935
6666				5282  				0  				1760  				0.264026
132 				3626  				0  				27    				0.204545
6437				2531  				0  				798   				0.123971
3905				4176  				0  				763   				0.195391
4046				1329  				1  				294   				0.0726644
5317				1064  				0  				278   				0.0522851
1802				8337  				0  				803   				0.445616
9693				6498  				0  				3194  				0.329516
2895				4219  				0  				606   				0.209326
4863				2954  				1  				752   				0.154637
1054				9174  				0  				484   				0.459203
8326				3267  				1  				1334  				0.160221
